token_id,gloss_token,surface_form,category
1,am_uot,ẩm ướt,weather
2,an,ăn,activity
3,anh,anh,person_subject
4,ao,áo,need_object
5,ao_khoac,áo khoác,need_object
6,ba,ba,person_subject
7,ba_lo,ba lô,object
8,ba_muoi,ba mươi,number
9,bac_si,bác sĩ,person
10,ban,bàn,person_subject
11,ban_be,bạn bè,person
12,ban_do,bản đồ,need_object
13,ban_phim,bàn phím,object
14,banh,bánh,food_drink
15,banh_mi,bánh mì,food_drink
16,bao,bão,weather
17,bao_nhieu,bao nhiêu,question_word
18,bao_nhieu_tien,bao nhiêu tiền,question_phrase
19,bay,bảy,number
20,bay_gio,bây giờ,time
21,ben_xe,bến xe,place
22,benh_nhan,Bệnh nhân,person_subject
23,benh_vien,bệnh viện,place
24,bi,bị,verb
25,bi_thuong,bị thương,health
26,bo,bố,person_subject
27,bon,bốn,number
28,bun,bún,food_drink
29,buoi_chieu,buổi chiều,time
30,buoi_sang,buổi sáng,time
31,buoi_toi,buổi tối,time
32,buoi_trua,buổi trưa,time
33,buon,buồn,emotion
34,buon_non,buồn nôn,health
35,but,bút,need_object
36,ca,cá,food_drink
37,ca_phe,cà phê,food_drink
38,cam_lanh,cảm lạnh,health
39,cam_on,cảm ơn,greeting
40,cam_thay,cảm thấy,verb
41,can,cần,verb
42,cap_cuu,cấp cứu,emergency
43,cham,chậm,adjective
44,chao,cháo,food_drink
45,chao_buoi_sang,chào buổi sáng,greeting
46,chao_buoi_toi,chào buổi tối,greeting
47,chay,chạy,activity
48,chay_mau,chảy máu,health
49,chi,chị,person_subject
50,chin,chín,number
51,cho,cho,place
52,choi,chơi,activity
53,chong_mat,chóng mặt,health
54,chu_nhat,chủ nhật,time
55,chung_toi,Chúng tôi,person_subject
56,co,có,person_subject
57,co_giao,cô giáo,person_subject
58,co_may,có mây,weather
59,com,cơm,need_object
60,con_gai,con gái,person_subject
61,con_trai,con trai,person_subject
62,cong_nhan,công nhân,profession
63,cong_ty,công ty,place
64,cong_vien,công viên,place
65,cu,cũ,adjective
66,cua,của,object
67,da,đã,aspect
68,dan,dẫn,verb
69,dang,đang,aspect
70,dau,đau,health
71,dau_bung,đau bụng,health
72,dau_chan,đau chân,health
73,dau_dau,đau đầu,health
74,dau_hong,đau họng,health
75,dau_lung,đau lưng,health
76,dau_tay,đau tay,health
77,de,dễ,adjective
78,den,đến,object
