raw_sentence,complete_sentence
xin_chao,Xin chào.
cam_on,Cảm ơn bạn.
xin_loi,Tôi xin lỗi.
toi can giup_do,Tôi cần giúp đỡ.
toi can giup do,Tôi cần giúp đỡ.
toi can giup,Tôi cần giúp đỡ.
toi muon uong_nuoc,Tôi muốn uống nước.
toi muon uong nuoc,Tôi muốn uống nước.
toi muon nuoc,Tôi muốn uống nước.
toi can nuoc,Tôi cần uống nước.
toi muon an_com,Tôi muốn ăn cơm.
toi muon an com,Tôi muốn ăn cơm.
toi dau,Tôi bị đau.
toi bi dau,Tôi bị đau.
toi dau bung,Tôi bị đau bụng.
toi dau dau,Tôi bị đau đầu.
toi met,Tôi bị mệt.
toi muon di_benh_vien,Tôi muốn đi bệnh viện.
toi muon di benh vien,Tôi muốn đi bệnh viện.
toi can nha_ve_sinh,Tôi cần đi nhà vệ sinh.
toi can nha ve sinh,Tôi cần đi nhà vệ sinh.
nha_ve_sinh,Nhà vệ sinh ở đâu?
nha ve sinh,Nhà vệ sinh ở đâu?
goi_nguoi_than,Gọi người thân giúp tôi.
goi nguoi than,Gọi người thân giúp tôi.
nguy_hiem,Có nguy hiểm.
toi muon ve_nha,Tôi muốn về nhà.
toi muon ve nha,Tôi muốn về nhà.
toi dong_y,Tôi đồng ý.
toi dong y,Tôi đồng ý.
toi khong dong_y,Tôi không đồng ý.
toi khong dong y,Tôi không đồng ý.
toi can bac_si,Tôi cần bác sĩ.
toi can bac si,Tôi cần bác sĩ.
toi can cap_cuu,Tôi cần cấp cứu.
toi can cap cuu,Tôi cần cấp cứu.
toi khong nghe_duoc,Tôi không nghe được.
toi khong nghe duoc,Tôi không nghe được.
toi muon ngu,Tôi muốn nghỉ ngơi.
toi can nghi,Tôi cần nghỉ ngơi.
toi khong khoe,Tôi không khỏe.
toi bi met,Tôi bị mệt.
toi bi dau bung,Tôi bị đau bụng.
toi can di ve sinh,Tôi cần đi nhà vệ sinh.
toi can uong nuoc,Tôi cần uống nước.
toi muon gap bac si,Tôi muốn gặp bác sĩ.
toi can goi nguoi than,Tôi cần gọi người thân.
toi khong hieu,Tôi không hiểu.
ban noi lai,Bạn nói lại được không?
cam on ban,Cảm ơn bạn.
