id,domain,intent,gloss_sequence,vietnamese_sentence,complexity,source,split
1,need,need,co can khau_trang,Cô cần khẩu trang.,simple,synthetic_template_v4,train
2,generated_health,time_symptom,thu_tu chi bi dau_tay,Thứ tư chị bị đau tay.,medium,synthetic_template_v4,train
3,time_activity,time_doing,thu_ba toi viet,Thứ ba tôi viết.,medium,synthetic_template_v4,train
4,generated_health,time_symptom,mua_dong thay_giao bi buon_non,Mùa đông thầy giáo bị buồn nôn.,medium,synthetic_template_v4,train
5,food_drink,like_food,anh thich nuoc_cam,Anh thích nước cam.,simple,synthetic_template_v4,train
6,generated_mix,time_activity,thu_ba nguoi_khiem_thinh dang nghe,Thứ ba người khiếm thính đang nghe.,medium,synthetic_template_v4,train
7,complex_need,want_food_place,me muon tra o truong,Mẹ muốn trà ở trường.,complex,synthetic_template_v4,train
8,quantity,need_quantity,bo can sau nuoc_cam,Bố cần sáu nước cam.,medium,synthetic_template_v4,train
9,generated_mix,time_activity,thang em dang hoc_bai,Tháng em đang học bài.,medium,synthetic_template_v4,train
10,generated_mix,want_need_like,con_gai can kinh_lup,Con gái cần kính lúp.,simple,synthetic_template_v4,train
11,quantity,want_quantity,bo muon nam sach,Bố muốn năm sách.,medium,synthetic_template_v4,train
12,weather,weather_question,buoi_trua troi_nong khong,Buổi trưa có nóng không?,medium,synthetic_template_v4,train
13,quantity,want_quantity,ban muon bon nuoc,Bạn muốn bốn nước.,medium,synthetic_template_v4,train
14,generated_mix,time_activity,buoi_chieu con_trai dang di_hoc,Buổi chiều con trai đang đi học.,medium,synthetic_template_v4,train
15,quantity,need_quantity,anh can sau bun,Anh cần sáu bún.,medium,synthetic_template_v4,train
16,time_activity,time_doing,thu_nam co_giao lam_bai_tap,Thứ năm cô giáo làm bài tập.,medium,synthetic_template_v4,train
17,generated_health,time_symptom,buoi_toi con_gai bi dau_hong,Buổi tối con gái bị đau họng.,medium,synthetic_template_v4,train
18,description,object_adj,kinh_lup on_ao,Kính lúp ồn ào.,simple,synthetic_template_v4,train
19,generated_mix,time_activity,thang me dang nau_an,Tháng mẹ đang nấu ăn.,medium,synthetic_template_v4,train
20,generated_health,time_symptom,thu_ba co_giao bi dau_hong,Thứ ba cô giáo bị đau họng.,medium,synthetic_template_v4,train
21,generated_health,time_symptom,chu_nhat ban bi di_ung,Chủ nhật bạn bị dị ứng.,medium,synthetic_template_v4,train
22,generated_health,time_symptom,thu_bay co bi dau,Thứ bảy cô bị đau.,medium,synthetic_template_v4,train
23,food_drink,like_food,me thich ca,Mẹ thích cá.,simple,synthetic_template_v4,train
24,generated_mix,time_activity,buoi_sang ong dang doc_sach,Buổi sáng ông đang đọc sách.,medium,synthetic_template_v4,train
