gloss_sequence,vietnamese_sentence
co can khau_trang,Cô cần khẩu trang.
thu_tu chi bi dau_tay,Thứ tư chị bị đau tay.
thu_ba toi viet,Thứ ba tôi viết.
mua_dong thay_giao bi buon_non,Mùa đông thầy giáo bị buồn nôn.
anh thich nuoc_cam,Anh thích nước cam.
thu_ba nguoi_khiem_thinh dang nghe,Thứ ba người khiếm thính đang nghe.
me muon tra o truong,Mẹ muốn trà ở trường.
bo can sau nuoc_cam,Bố cần sáu nước cam.
thang em dang hoc_bai,Tháng em đang học bài.
con_gai can kinh_lup,Con gái cần kính lúp.
bo muon nam sach,Bố muốn năm sách.
buoi_trua troi_nong khong,Buổi trưa có nóng không?
ban muon bon nuoc,Bạn muốn bốn nước.
buoi_chieu con_trai dang di_hoc,Buổi chiều con trai đang đi học.
anh can sau bun,Anh cần sáu bún.
thu_nam co_giao lam_bai_tap,Thứ năm cô giáo làm bài tập.
buoi_toi con_gai bi dau_hong,Buổi tối con gái bị đau họng.
kinh_lup on_ao,Kính lúp ồn ào.
thang me dang nau_an,Tháng mẹ đang nấu ăn.
thu_ba co_giao bi dau_hong,Thứ ba cô giáo bị đau họng.
chu_nhat ban bi di_ung,Chủ nhật bạn bị dị ứng.
thu_bay co bi dau,Thứ bảy cô bị đau.
me thich ca,Mẹ thích cá.
buoi_sang ong dang doc_sach,Buổi sáng ông đang đọc sách.
ban muon pho o nha_thuoc,Bạn muốn phở ở nhà thuốc.
bay_gio me dang nghi,Bây giờ mẹ đang nghỉ.
hom_qua anh dang noi,Hôm qua anh đang nói.
bo can goi_bac_si khong,Bố có cần gọi bác sĩ không?
chu_nhat bo hoc_bai,Chủ nhật bố học bài.
ba tim dien_thoai,Bà tìm điện thoại.
thu_ba benh_nhan bi chay_mau,Thứ ba bệnh nhân bị chảy máu.
thu_hai chi dang noi,Thứ hai chị đang nói.
anh di nha,Anh đi nhà.
toi_nay thay_giao bi di_ung,Tối nay thầy giáo bị dị ứng.
thu_nam anh bi buon_non,Thứ năm anh bị buồn nôn.
thu_sau me dang an,Thứ sáu mẹ đang ăn.
toi can hai sach,Tôi cần hai sách.
thu_tu ba dang an,Thứ tư bà đang ăn.
ba den phong_kham,Bà đến phòng khám.
thu_sau con_trai bi cam_lanh,Thứ sáu con trai bị cảm lạnh.
co bi sot,Cô bị sốt.
thu_bay con_trai dang di_bo,Thứ bảy con trai đang đi bộ.
anh se rua_tay,Anh sẽ rửa tay.
ngay thay_giao nghi,Ngày thầy giáo nghỉ.
nam me bi dau_bung,Năm mẹ bị đau bụng.
bo can bon sach,Bố cần bốn sách.
thu_bay co hoc_bai,Thứ bảy cô học bài.
nguoi_khiem_thinh muon thuc_an,Người khiếm thính muốn thức ăn.
nam nguoi_khiem_thinh dang di_hoc,Năm người khiếm thính đang đi học.
bay_gio chung_toi bi dau_bung,Bây giờ chúng tôi bị đau bụng.
buoi_trua me dang tam,Buổi trưa mẹ đang tắm.
mua_he me dang nau_an,Mùa hè mẹ đang nấu ăn.
bo muon muoi den,Bố muốn mười đèn.
me muon chin pho,Mẹ muốn chín phở.
thu_tu benh_nhan dang viet,Thứ tư bệnh nhân đang viết.
thang ban bi dau_chan,Tháng bạn bị đau chân.
thu_ba con_gai bi dau,Thứ ba con gái bị đau.
dong_ho cu,Đồng hồ cũ.
thay_giao o ban,Thầy giáo ở bàn.
em bi di_ung,Em bị dị ứng.
thu_sau toi dang ngu,Thứ sáu tôi đang ngủ.
buoi_sang toi bi dau_lung,Buổi sáng tôi bị đau lưng.
thu_ba toi dang xem,Thứ ba tôi đang xem.
bay_gio ban bi ho,Bây giờ bạn bị ho.
mua_he ba dang giat_do,Mùa hè bà đang giặt đồ.
con_gai can com khong,Con gái có cần cơm không?
thu_ba chi lam_viec,Thứ ba chị làm việc.
bay_gio con_gai bi kho_tho,Bây giờ con gái bị khó thở.
toi_nay co_giao bi di_ung,Tối nay cô giáo bị dị ứng.
ban khong muon dien_thoai,Bạn không muốn điện thoại.
thu_nam benh_nhan dang viet,Thứ năm bệnh nhân đang viết.
y_ta can o,Y tá cần ô.
bay_gio co_giao hoc_bai,Bây giờ cô giáo học bài.
thu_bay thay_giao dang xem,Thứ bảy thầy giáo đang xem.
hom_nay chung_toi bi dau_hong,Hôm nay chúng tôi bị đau họng.
me muon hai_muoi ban_phim,Mẹ muốn hai mươi bàn phím.
toi bi dau_lung,Tôi bị đau lưng.
con_gai can giay khong,Con gái có cần giày không?
me muon di nha_ga,Mẹ muốn đi nhà ga.
me bi dau_dau nen can com,Mẹ bị đau đầu nên cần cơm.
hom_qua ban bi dau_lung,Hôm qua bạn bị đau lưng.
hom_nay con_trai dang di_hoc,Hôm nay con trai đang đi học.
chu_nhat thay_giao dang uong,Chủ nhật thầy giáo đang uống.
buoi_trua chi lam_bai_tap,Buổi trưa chị làm bài tập.
toi da nau_an,Tôi đã nấu ăn.
ong can nam nuoc_cam,Ông cần năm nước cam.
hom_qua ban dang nau_an,Hôm qua bạn đang nấu ăn.
ong muon tam bun,Ông muốn tám bún.
thu_ba con_gai dang tap_the_duc,Thứ ba con gái đang tập thể dục.
toi_nay me bi kho_tho,Tối nay mẹ bị khó thở.
anh can hai nuoc,Anh cần hai nước.
con_gai muon banh,Con gái muốn bánh.
chu_nhat anh dang hoc_bai,Chủ nhật anh đang học bài.
me tim giuong,Mẹ tìm giường.
co muon di sieu_thi,Cô muốn đi siêu thị.
me can sau den,Mẹ cần sáu đèn.
con_trai bi cam_lanh nen can goi_bac_si,Con trai bị cảm lạnh nên cần gọi bác sĩ.
buoi_toi me dang rua_tay,Buổi tối mẹ đang rửa tay.
ngay_mai me bi dau_lung,Ngày mai mẹ bị đau lưng.
anh muon muoi ban_phim,Anh muốn mười bàn phím.
buoi_sang thay_giao bi chong_mat,Buổi sáng thầy giáo bị chóng mặt.
con_gai can di_nha_ve_sinh khong,Con gái có cần đi nhà vệ sinh không?
em bi chong_mat nen can nuoc,Em bị chóng mặt nên cần nước.
me se chay,Mẹ sẽ chạy.
toi mat ban,Tôi mất bàn.
buoi_chieu con_gai dang di_hoc,Buổi chiều con gái đang đi học.
thu_ba thay_giao bi dau_bung,Thứ ba thầy giáo bị đau bụng.
thu_tu me bi chay_mau,Thứ tư mẹ bị chảy máu.
me can nam nuoc_cam,Mẹ cần năm nước cam.
hom_nay ong se di nha_thuoc,Hôm nay ông sẽ đi nhà thuốc.
toi can ba dien_thoai,Tôi cần ba điện thoại.
co can tra khong,Cô có cần trà không?
thu_nam ba bi chay_mau,Thứ năm bà bị chảy máu.
